name,price_range,description,address,website,phone_number,dining_style,dress_code,neighborhood,cuisine,opening_hour,closing_hour
Tartine Manufactory,3,"Tartine Manufactory is a multi-faceted food and beverage venue featuring a restaurant, bar, bakery and coffee bar. For breakfast, lunch and dinner we offer full table service, along with a market-driven menu with seasonal offerings from Executive Chef Christa Chase, breads by Chad Robertson and sweet treats from Elisabeth Prueitt. The menu is designed for sharing and will be accompanied by a full cocktail program, global wine list and local beers. At this time reservations are only available for dinner. Breakfast and lunch are served on a walk-in basis.","595 Alabama St. San Francisco, CA 94110",http://www.tartinemanufactory.com/,(415) 757-0007,Casual Elegant,Business Casual,Mission,American,8:00,22:00
Foreign Cinema,3,"Foreign Cinema is a one of a kind, nationally acclaimed restaurant combining independent films with California-Mediterranean cooking. Enjoy an airy yet chic setting, complete with indoor dining room with a fireplace, outdoor courtyard, mezzanine, gallery curated by Modernism & full bar in the main dining room. There is also a great cocktail bar, Laszlo, as you enter from Mission Street.","2534 Mission St. San Francisco, CA 94110",http://www.foreigncinema.com/,(415) 648-7600,Casual Elegant,Casual Dress,Mission,Mediterranean,17:30,22:00
Zuni Café,3,"This James Beard Award winning restaurant with a clientele as diverse as San Francisco opened in 1979. A vibrant Parisian-style standing-only copper bar greets you as you enter on Rose Alley. Zuni's menu changes daily with dishes inspired by traditional Italian and French recipes. Nearly all of the produce, meat, and fish served at Zuni is farmed and harvested in a sustainable manner. ","1658 Market Street San Francisco, CA 94102",http://www.zunicafe.com/,(415) 552-2522,Casual Elegant,Casual Dress,Civic Center,European,11:30,23:00
Wayfare Tavern,2,"Chef Tyler Florence brings his passion for high quality and style to San Francisco with his new flagship restaurant, Wayfare Tavern. A classic San Francisco Tavern featuring authentic American dishes inspired by local cuisine at the turn of the 20th century, the menu ranges from classic comforts to rustic delicacies. The beverage menu features locally-sourced wines including a selection of Florence's own label, quality draft beers and organic root beer as well as classic Victorian-era cocktails.","558 Sacramento Street San Francisco, CA 94111",http://www.wayfaretavern.com/,(415) 772-9060,Casual Elegant,Business Casual,Financial District,American,11:00,17:00
House of Prime Rib,3,"62 years of loyal customers can't be wrong. We are grateful to all of our customers, employees, and critics (...though we may not always agree!). The only way to find out the truth is with a visit. Oft imitated, never duplicated. Thank you in advance.","1906 Van Ness Ave. San Francisco, CA 94109",http://houseofprimerib.net/,(415) 885-4605,Casual Elegant,Business Casual,Civic Center,American,17:30,22:00
Cotogna,2,"Located in the heart of San Francisco’s historic Jackson Square neighborhood, Cotogna is a lively, comfortably-stylish restaurant featuring rustic Italian cuisine. Adjoining Quince, Lindsay and Chef Michael Tusk’s celebrated fine dining restaurant, Cotogna (meaning ‘quince’ in Italian) offers a seasonally-changing menu featuring spit-roasted or grilled meats and game birds, wood-oven pizzas, house-made pastas, fresh local seafood, salads, salumi and cheeses. A sophisticated, seasonal cocktail program features innovative cocktails, while the approachable wine program focuses on Northern Italian varieties.","490 Pacific Avenue San Francisco, CA 94133",http://www.cotognasf.com/,(415) 775-8508,Casual Dining,Smart Casual,Financial District,Italian,11:30,22:30
Marlowe,2,Marlowe is a market driven neighborhood bistro housed in a rustic-chic and inviting space. Bright and bold flavors from a three-star chef and a little family history create an exciting new restaurant concept nestled in San Francisco’s slick SoMa neighborhood. Marlowe was created by restaurateur Anna Weinberg along with a few partners and pals.,"500 Brannan St. San Francisco, CA 94107",http://www.marlowesf.com/,(415) 777-1413,Casual Dining,Casual Dress,SOMA,American,11:30,23:00
Hawker Fare,2,"Located in the Mission District, Hawker Fare dishes out delicious Issan Thai, family style dishes in a comfortable and casual atmosphere that includes a full bar mixing up stiff Tiki style cocktails utilizing only fresh ingredients.","680 Valencia St. San Francisco, CA 94110",http://www.hawkerfare.com/,(415) 400-5699,Home Style,Casual Dress,Mission,Laotian,17:30,23:00
Blue Plate,3,"The Blue Plate opened in 1999 as a casual spot where friends and neighbors can enjoy the best ingredients our seasons have to offer. Owners Cory Obenour and Jeff Trenam have created a space that feels like a home, with three distinct dining rooms each appointed with the work of local artists. In the back, a lush, night-fragrant garden offers an exotic retreat from the bustle of the city. The kitchen stays committed to using the highest quality local produce and meats in classic American and rustic Mediterranean dishes. Through a working friendship with Bay Area farmers, the Blue Plate is expanding the notion of ""the blue plate special"" to include dining that is casual, affordable, delicious and responsible.","3218 Mission Street San Francisco, CA 94110",http://blueplatesf.com/,(415) 282-6777,Fine Dining,Casual Dress,Bernal Heights,American,18:00,22:30
Piqueos,2,"Fusion Peruvian Cuisine. Artful ambiance. These are the ingredients that create this dynamic San Francisco restaurant, Piqueos. In our cuisine you will find an unmistakable touch of Peru. In every dish the distinct flavors of regional spices come through.","830 Cortland Avenue San Francisco, CA 94110",http://www.piqueos.com/,(415) 282-8812,Casual Dining,Casual Dress,Bernal Heights,Tapas,17:00,21:30
